country,city,line,phase,start_year,end_year,is_regional_rail,length_km,tunnel_pct,tunnel_km,num_stations,is_anglo,ppp_rate,real_cost_2023_musd,cost_per_km_2023_musd
CN,Nanjing,Line 6,Line 6,2019.0,2023.0,0.0,32.365,1.0,32.365,19.0,0.0,0.239,8833.884130567958,272.94559340546755
CN,Nanjing,Line 10,Line 10 Phase 2,2020.0,2023.0,0.0,13.33,1.0,13.33,10.0,0.0,0.239,2824.047899117983,211.856556572992
CN,Nanjing,Line 4,Line 4 Phase 2,2021.0,2025.0,0.0,10.0,1.0,10.0,6.0,0.0,0.239,2367.7066988227475,236.77066988227475
CN,Nanjing,Line 2,Line 2 Phase 1,2005.0,,0.0,21.63,0.88,19.11,18.0,0.0,0.352,5738.944376856118,265.3233646258029
CN,Nanjing,Line 7,Line 7,2019.0,,0.0,35.49,1.0,35.49,27.0,0.0,0.238,8562.4912603058,241.26489885336147
CN,Nanjing,Line 1,Line 1 Northern Extension,2021.0,,0.0,6.54,0.92,6.04,5.0,0.0,0.239,2198.3928259216887,336.14569203695544
CN,Nanjing,Line 5,Line 5,2021.0,,0.0,37.4,1.0,37.4,30.0,0.0,0.239,8991.910411942281,240.4254120840182
CN,Nanjing,Line S2 Nanjing-Ma'anshan,Line S2 Nanjing-Ma'anshan Regional Rail (Anhui section),2021.0,,1.0,27.49,0.0,0.0,8.0,0.0,0.239000000000001,1703.0825596412956,61.952803188115524
CN,Nanjing,Line S2 Nanjing-Ma'anshan,Line S2 Nanjing-Ma'anshan Regional Rail (Nanjing section),2021.0,,1.0,26.5,0.52,13.71,8.0,0.0,0.239000000000002,3950.1195299996634,149.06111433960993
CN,Nanjing,Line S4 Nanjing-Chuzhou,Line S4 Nanjing-Chuzhou Phase 2 (Nanjing Section),2021.0,,0.0,5.671,0.46,2.63,2.0,0.0,0.239000000000002,923.1637355795921,162.78676345963532
CN,Nanjing,Line S5 Nanjing-Yangzhou,Line S5 Nanjing-Yangzhou,2021.0,,0.0,53.75,0.57,30.66,16.0,0.0,0.239000000000002,7216.533516094092,134.261088671518
CN,Nanjing,Line S6,Line S6,2021.0,,0.0,26.313,0.62,16.26,13.0,0.0,0.239000000000002,5589.776575347871,212.4340278701733
CN,Nanning,Line 1,Line 1 Phase 1,2011.0,2016.0,0.0,32.1,1.0,32.1,25.0,0.0,0.266,6778.878132603407,211.18000413094722
CN,Nanning,Line 2,Line 2 Phase 1,2014.0,2017.0,0.0,21.2,1.0,21.2,18.0,0.0,0.251,4951.948647664443,233.58248338039826
CN,Nanning,Line 3,Line 3 Phase1,2015.0,2019.0,0.0,27.7,1.0,27.7,23.0,0.0,0.258,6415.630536155634,231.61121069153916
CN,Nanning,Line 4,Line 4 Phase 1,,2020.0,0.0,24.98,1.0,24.98,19.0,0.0,0.239,4876.284519359688,195.20754681183698
CN,Nanning,Line 2,Line 2 Eastern Extension,2017.0,2021.0,0.0,6.5,1.0,6.5,4.0,0.0,0.239,1455.1683446638378,223.87205302520582
CN,Nanning,Line 5,Line 5 Phase 1,,2021.0,0.0,20.22,1.0,20.22,17.0,0.0,0.239,4407.535739011698,217.97901775527689
CN,Nanning,Wuming Line,Wuming Line,2021.0,,0.0,53.2,0.2,10.6,13.0,0.0,0.239000000000001,4434.41095693252,83.3535894160248
CN,Nantong,Line 1,Line 1,2019.0,,0.0,39.4,1.0,39.4,28.0,0.0,0.238,7630.959381327324,193.6791721149067
CN,Nantong,Line 2,Line 2,2020.0,,0.0,20.85,1.0,20.85,17.0,0.0,0.239,4254.337361240133,204.04495737362748
CN,Ningbo,Line 3,Line 3 Phase 1,,2019.0,0.0,16.73,1.0,16.73,15.0,0.0,0.238,4217.98996358402,252.1213367354465
CN,Ningbo,Ningbo-Fenghua Line,Ningbo-Fenghua Line,,2019.0,0.0,21.59,0.04,0.84,9.0,0.0,0.238,2095.095754608714,97.04009979660555
CN,Ningbo,Line 4,Line 4,,2021.0,0.0,35.95,0.68,24.45,25.0,0.0,0.239,5525.544804517105,153.7008290547178
CN,Ningbo,Line 3,Line 3 Southern Extension,2020.0,,0.0,12.7,0.17,2.2,6.0,0.0,0.239,1463.1667340259883,115.20997905716443
CN,Ningbo,Line 3,Line 3 Phase 2,2021.0,,0.0,9.05,1.0,9.05,5.0,0.0,0.239000000000001,2011.6100613721158,222.27735484774757
CN,Ningbo,Line 5,Line 5 Phase 1,2021.0,,0.0,27.91,1.0,27.91,22.0,0.0,0.239000000000001,5348.168366239826,191.62194074667957
CN,Putian,F2 Line,F2 Line,2020.0,,1.0,23.8,0.63,14.9,,0.0,0.239,3807.0472906483888,159.95997019531046
CN,Qingdao,Line 11,Line 11,,2018.0,0.0,58.35,0.1,5.81,22.0,0.0,0.237,5607.889437570438,96.10778813316945
CN,Qingdao,Qingdao-Pingdu Intercity Rail,Qingdao-Pingdu Intercity Rail,,2020.0,0.0,60.0,0.2,12.0,10.0,0.0,0.239,5842.255942034923,97.3709323672487
CN,Qingdao,Line 1 + Line 7,Line 1 + Line 7 Phase 1,,2021.0,0.0,59.97,1.0,59.97,40.0,0.0,0.239000000000001,10747.399646529178,179.21293390910753
CN,Qingdao,Line 15,Line 15,2021.0,2026.0,0.0,30.8,1.0,30.8,17.0,0.0,0.239000000000001,5234.754946614037,169.95957618876744
CN,Qingdao,Line 5,Line 5,2021.0,2026.0,0.0,32.7,1.0,32.7,29.0,0.0,0.239000000000001,6995.6192247850595,213.93330962645442
CN,Qingdao,Line 6,Line 6 Phase 2 South,2021.0,2026.0,0.0,13.85,1.0,13.85,10.0,0.0,0.239000000000001,2231.1805917850775,161.0960716090309
CN,Qingdao,Line 8,Line 8 Branch,2021.0,2026.0,0.0,18.8,1.0,18.8,9.0,0.0,0.239000000000001,3088.500043458698,164.2819172052499
CN,Qingdao,Line 9,Line 9,2021.0,2026.0,0.0,16.63,1.0,16.63,13.0,0.0,0.239000000000001,3383.5899362291166,203.4630148063209
CN,Qingdao,Line 3,Line 3,2010.0,,0.0,25.0,1.0,25.0,22.0,0.0,0.3,7336.122372234655,293.4448948893862
CN,Qingdao,Line 2,Line 2,2019.0,,0.0,25.0,1.0,25.0,22.0,0.0,0.238,8332.955451393076,333.31821805572304
CN,Qingdao,Line 2,Line 2 Phase 2 East Section,2021.0,,0.0,8.89,1.0,8.89,8.0,0.0,0.239000000000001,1819.4522532383733,204.66279563986203
CN,Shanghai,Line 2,Line 2 Phase 1,1995.0,1999.0,0.0,16.3,1.0,16.3,12.0,0.0,0.365,9049.089580052494,555.1588699418708
CN,Shanghai,Line 3,Line 3,1997.0,2000.0,0.0,24.975,0.0,0.0,,0.0,0.357,6258.440749030675,250.58821817940637
CN,Shanghai,Line 2,Line 2 Eastern Extension 1,1999.0,2000.0,0.0,2.72,0.3198529412,0.87,1.0,0.0,0.367,211.2806411415366,77.6767063020355
CN,Shanghai,Line 5,Line 5 Phase 1,2000.0,2002.0,0.0,17.206,0.0,0.0,11.0,0.0,0.368,2176.126283636364,126.4748508448427
CN,Shanghai,Line 4,Line 4 Phase 1,,2005.0,0.0,22.032,0.9432643428,20.782,9.0,0.0,0.3519,6917.718309677418,313.9850358422938
CN,Shanghai,Line 2,Line 2 Western Extension 1,2001.0,2006.0,0.0,6.155,1.0,6.155,4.0,0.0,0.355,1997.5629197893063,324.54312263026907
CN,Shanghai,Line 3,Line 3 Northern Extension,,2006.0,0.0,15.365,0.128799219,1.979,10.0,0.0,0.349,1846.1978819444446,120.1560613045522
CN,Shanghai,Line 9,Line 9 Phase 1,,2008.0,0.0,30.687,0.4817023495,14.782,13.0,0.0,0.315,8470.116394105053,276.01643673559005
CN,Shanghai,Line 7,Line 7 Phase 1,2005.0,2009.0,0.0,34.388,1.0,34.388,28.0,0.0,0.333,9151.111806580431,266.113522350251
CN,Shanghai,Line 9,Line 9 Phase 2,2005.0,2009.0,0.0,14.5,1.0,14.5,10.0,0.0,0.333,4374.91655352027,301.71838300139797
CN,Shanghai,Line 11,Line 11 Phase 1,2007.0,2009.0,0.0,46.008,0.4711354547,21.676,21.0,0.0,0.315,8447.826614120566,183.61647135542873
CN,Shanghai,Line 8,Line 8 Phase 2,,2009.0,0.0,14.44,0.5706371191135734,8.24,8.0,0.0,0.317,2400.614939558211,166.24757199156588
CN,Shanghai,Line 8,Line 8 Phase 1,,2009.0,0.0,23.22,1.0,23.22,22.0,0.0,0.368,9176.19965922078,395.1851705090775
CN,Shanghai,Line 10,Line 10 Phase 1,2005.0,2010.0,0.0,36.221,1.0,36.221,31.0,0.0,0.333,11639.039743727753,321.3340256681967
CN,Shanghai,Line 2,Line 2 Eastern Extension 2,2006.0,2010.0,0.0,30.8,0.698051948051948,21.5,10.0,0.0,0.315,4918.017055777207,159.67587843432491
CN,Shanghai,Line 6,Line 6,2002.0,2011.0,0.0,33.09,0.6361438501,21.05,28.0,0.0,0.372,7560.810050027792,228.49229525620405
CN,Shanghai,Line 7,Line 7 Northern Extension,2009.0,2011.0,0.0,9.978,0.7025456003,7.01,5.0,0.0,0.3,1323.4364759511316,132.635445575379
CN,Shanghai,Line 9,Line 9 Phase 3,2009.0,2012.0,0.0,5.372,1.0,5.372,,0.0,0.3,1173.7795795575448,218.4995494336457
CN,Shanghai,Line 11,Line 11 Huaqiao,,2013.0,0.0,6.0,0.0,0.0,3.0,0.0,0.273,660.2358437565732,110.0393072927622
